date,pm2_5,pm10,no2,so2,co,ozone,aqi
2014-01-03 17:00:00,72,341,156,59,4.61,86,176
2014-01-03 18:00:00,149,139,83,105,1.95,149,148
2014-01-03 19:00:00,103,186,34,67,1.39,190,129
2014-01-03 20:00:00,111,319,160,41,2.87,142,180
2014-01-03 21:00:00,130,94,170,51,1.43,73,123
2014-01-03 22:00:00,207,111,60,19,1.77,79,141
2014-01-03 23:00:00,218,282,40,62,2.97,100,194
2014-01-04 00:00:00,191,166,112,34,3.09,141,175
2014-01-04 01:00:00,27,293,15,69,2.84,115,118
2014-01-04 02:00:00,194,107,36,74,2.41,97,145
2014-01-04 03:00:00,54,192,114,66,0.68,109,105
2014-01-04 04:00:00,225,188,150,101,2.87,12,184
2014-01-04 05:00:00,100,265,143,92,2.19,161,165
2014-01-04 06:00:00,183,219,177,59,0.73,80,167
2014-01-04 07:00:00,69,349,75,87,4.67,192,183
2014-01-04 08:00:00,123,42,174,117,2.06,106,127
2014-01-04 09:00:00,151,328,175,40,1.62,125,187
2014-01-04 10:00:00,21,240,32,16,0.52,134,87
2014-01-04 11:00:00,153,46,80,119,1.99,172,136
2014-01-04 12:00:00,73,194,78,102,4.18,106,139
2014-01-04 13:00:00,125,296,84,97,0.99,124,158
2014-01-04 14:00:00,23,207,162,87,3.28,35,115
2014-01-04 15:00:00,73,202,12,93,3.96,189,140
2014-01-04 16:00:00,240,334,171,79,2.87,155,242
2014-01-04 17:00:00,210,50,170,59,2.35,112,161
2014-01-04 18:00:00,165,340,130,76,1.32,14,173
2014-01-04 19:00:00,237,170,30,63,2.18,69,167
2014-01-04 20:00:00,63,244,124,63,3.53,96,141
2014-01-04 21:00:00,181,131,92,25,1.26,197,154
2014-01-04 22:00:00,221,150,102,29,2.76,112,175
2014-01-04 23:00:00,209,329,29,22,3.47,58,192
2014-01-05 00:00:00,247,286,115,36,2.61,144,219
2014-01-05 01:00:00,33,100,40,74,1.83,145,82
2014-01-05 02:00:00,114,149,85,107,0.63,193,132
2014-01-05 03:00:00,67,271,52,87,3.84,189,156
2014-01-05 04:00:00,34,164,59,108,4.59,83,115
2014-01-05 05:00:00,219,242,22,47,3.79,149,196
2014-01-05 06:00:00,225,310,178,6,1.04,38,193
2014-01-05 07:00:00,234,299,170,26,2.56,31,206
2014-01-05 08:00:00,209,62,90,18,2.62,181,159
2014-01-05 09:00:00,59,239,177,48,2.93,167,151
2014-01-05 10:00:00,232,119,89,70,3.51,54,173
2014-01-05 11:00:00,227,311,46,78,2.8,125,208
2014-01-05 12:00:00,101,92,85,89,2.95,75,115
2014-01-05 13:00:00,130,305,85,44,0.44,140,154
2014-01-05 14:00:00,72,92,134,9,3.01,152,115
2014-01-05 15:00:00,43,311,104,111,0.64,79,123
2014-01-05 16:00:00,173,267,62,85,3.0,145,186
2014-01-05 17:00:00,236,219,104,83,4.58,62,208
2014-01-05 18:00:00,207,239,173,108,4.17,24,204
2014-01-05 19:00:00,143,231,61,28,1.4,28,130
2014-01-05 20:00:00,60,62,96,73,0.52,81,74
2014-01-05 21:00:00,176,79,127,109,4.76,67,164
2014-01-05 22:00:00,34,269,89,67,2.06,117,121
2014-01-05 23:00:00,64,57,145,54,3.5,56,100
2014-01-06 00:00:00,84,261,160,80,3.49,119,163
2014-01-06 01:00:00,108,203,166,70,3.25,94,155
2014-01-06 02:00:00,90,208,21,114,2.95,90,129
2014-01-06 03:00:00,28,40,110,65,3.6,196,100
2014-01-06 04:00:00,107,293,90,72,0.41,27,129
2014-01-06 05:00:00,148,238,103,63,4.28,100,177
2014-01-06 06:00:00,155,251,76,59,4.86,120,186
2014-01-06 07:00:00,235,209,10,78,2.34,187,191
2014-01-06 08:00:00,82,191,25,107,4.26,89,132
2014-01-06 09:00:00,158,104,76,113,0.64,35,117
2014-01-06 10:00:00,100,57,77,75,4.43,157,129
2014-01-06 11:00:00,155,129,44,115,2.51,67,136
2014-01-06 12:00:00,182,53,74,63,3.99,60,141
2014-01-06 13:00:00,182,58,79,20,3.15,80,135
2014-01-06 14:00:00,52,121,131,70,1.16,118,98
2014-01-06 15:00:00,142,288,116,101,3.02,161,190
2014-01-06 16:00:00,24,148,113,95,1.41,134,97
2014-01-06 17:00:00,60,46,103,15,0.74,147,78
2014-01-06 18:00:00,47,41,134,102,1.14,34,71
2014-01-06 19:00:00,154,302,79,48,4.6,83,187
2014-01-06 20:00:00,220,67,110,68,1.56,170,162
2014-01-06 21:00:00,91,325,59,94,3.68,75,160
2014-01-06 22:00:00,31,293,162,45,3.35,109,142
2014-01-06 23:00:00,181,124,115,10,3.44,72,153
2014-01-07 00:00:00,52,240,119,92,3.53,88,137
2014-01-07 01:00:00,67,331,96,89,4.47,159,175
2014-01-07 02:00:00,170,317,137,14,2.76,37,180
2014-01-07 03:00:00,81,117,164,96,2.19,82,119
2014-01-07 04:00:00,235,249,142,63,4.88,58,219
2014-01-07 05:00:00,56,165,75,115,3.96,70,120
2014-01-07 06:00:00,118,49,111,63,0.49,57,92
2014-01-07 07:00:00,191,279,71,91,2.46,127,190
2014-01-07 08:00:00,123,317,104,103,4.97,125,197
2014-01-07 09:00:00,233,347,115,78,1.23,19,200
2014-01-07 10:00:00,238,209,49,89,0.41,119,174
2014-01-07 11:00:00,54,208,123,42,0.5,78,101
2014-01-07 12:00:00,212,343,103,74,0.83,64,192
2014-01-07 13:00:00,246,296,62,56,4.29,114,223
2014-01-07 14:00:00,120,289,48,55,2.46,185,165
2014-01-07 15:00:00,194,223,92,24,4.13,11,173
2014-01-07 16:00:00,225,268,13,93,3.08,51,187
2014-01-07 17:00:00,150,242,100,63,0.36,153,155
2014-01-07 18:00:00,20,211,146,112,2.24,65,110
2014-01-07 19:00:00,24,120,102,9,0.54,17,56
2014-01-07 20:00:00,237,88,80,58,2.18,187,175
2014-01-07 21:00:00,161,254,51,86,2.56,20,154
2014-01-07 22:00:00,122,216,142,74,0.69,160,150
2014-01-07 23:00:00,46,134,40,119,1.15,98,87
2014-01-08 00:00:00,156,157,112,57,3.7,19,148
2014-01-08 01:00:00,226,137,50,24,3.62,86,169
2014-01-08 02:00:00,34,113,134,29,1.28,12,71
2014-01-08 03:00:00,109,76,38,50,4.76,68,117
2014-01-08 04:00:00,61,226,37,78,4.65,194,149
2014-01-08 05:00:00,143,305,113,11,2.55,30,161
2014-01-08 06:00:00,224,274,47,70,0.71,76,175
2014-01-08 07:00:00,198,348,165,30,2.12,192,222
2014-01-08 08:00:00,82,346,84,79,3.64,39,157
2014-01-08 09:00:00,115,110,18,54,2.39,50,102
2014-01-08 10:00:00,71,188,168,51,0.33,190,127
2014-01-08 11:00:00,115,301,97,111,2.46,117,169
2014-01-08 12:00:00,151,326,150,97,4.59,193,223
2014-01-08 13:00:00,241,179,159,107,2.87,119,207
2014-01-08 14:00:00,248,344,135,91,2.82,154,243
2014-01-08 15:00:00,170,70,93,9,2.8,121,137
2014-01-08 16:00:00,162,304,51,8,2.66,63,164
2014-01-08 17:00:00,190,194,85,103,4.13,72,181
2014-01-08 18:00:00,48,155,110,118,3.61,57,115
2014-01-08 19:00:00,55,248,174,34,0.62,110,122
2014-01-08 20:00:00,32,154,173,102,4.95,158,143
2014-01-08 21:00:00,179,90,113,90,3.33,102,157
2014-01-08 22:00:00,90,111,20,86,4.52,158,129
2014-01-08 23:00:00,206,167,103,51,0.41,124,158
2014-01-09 00:00:00,105,288,153,65,0.33,77,143
2014-01-09 01:00:00,47,182,30,70,1.61,66,89
2014-01-09 02:00:00,85,206,112,99,3.05,157,149
2014-01-09 03:00:00,189,109,97,84,1.01,151,151
2014-01-09 04:00:00,64,47,63,35,0.98,83,68
2014-01-09 05:00:00,81,202,123,111,3.06,199,156
2014-01-09 06:00:00,204,102,111,56,0.87,188,159
2014-01-09 07:00:00,153,326,18,75,2.94,39,165
2014-01-09 08:00:00,47,273,105,73,1.05,28,109
2014-01-09 09:00:00,47,257,49,54,4.3,22,120
2014-01-09 10:00:00,127,292,60,91,3.06,66,161
2014-01-09 11:00:00,63,233,91,93,1.0,76,114
2014-01-09 12:00:00,103,336,159,22,4.63,68,181
2014-01-09 13:00:00,49,296,118,53,3.95,143,154
2014-01-09 14:00:00,209,281,110,16,1.56,187,198
2014-01-09 15:00:00,94,328,38,90,3.47,124,164
2014-01-09 16:00:00,147,147,161,28,0.51,178,145
2014-01-09 17:00:00,111,76,168,111,1.73,120,127
2014-01-09 18:00:00,236,50,179,105,3.54,168,195
2014-01-09 19:00:00,209,123,11,50,0.34,189,145
2014-01-09 20:00:00,244,257,119,118,2.3,199,226
2014-01-09 21:00:00,148,277,79,17,1.4,32,144
2014-01-09 22:00:00,140,86,166,24,1.84,117,132
2014-01-09 23:00:00,46,171,160,75,4.51,119,138
2014-01-10 00:00:00,209,250,49,96,0.67,177,182
2014-01-10 01:00:00,140,244,106,106,2.89,103,169
2014-01-10 02:00:00,135,122,173,75,3.62,65,150
2014-01-10 03:00:00,224,116,37,81,2.42,163,170
2014-01-10 04:00:00,22,179,161,84,2.68,144,120
2014-01-10 05:00:00,122,167,116,110,4.04,37,148
2014-01-10 06:00:00,217,105,58,30,4.33,159,177
2014-01-10 07:00:00,219,281,141,100,0.44,177,205
2014-01-10 08:00:00,174,190,125,11,2.28,48,152
2014-01-10 09:00:00,156,94,22,41,4.44,41,130
2014-01-10 10:00:00,81,186,101,71,2.68,108,129
2014-01-10 11:00:00,184,106,31,81,2.54,155,151
2014-01-10 12:00:00,244,190,104,58,1.05,60,174
2014-01-10 13:00:00,70,43,16,85,4.03,84,92
2014-01-10 14:00:00,191,57,112,55,3.27,197,165
2014-01-10 15:00:00,171,51,166,115,3.49,168,168
2014-01-10 16:00:00,226,295,47,59,1.84,169,202
2014-01-10 17:00:00,78,74,101,30,4.66,102,116
2014-01-10 18:00:00,137,82,154,40,4.45,22,137
2014-01-10 19:00:00,179,117,33,7,3.81,187,159
2014-01-10 20:00:00,115,91,128,17,1.01,192,121
2014-01-10 21:00:00,235,56,151,17,4.58,164,190
2014-01-10 22:00:00,199,250,144,61,1.7,29,175
2014-01-10 23:00:00,132,266,74,70,1.59,167,161
2014-01-11 00:00:00,81,72,142,95,1.93,36,98
2014-01-11 01:00:00,205,340,148,66,3.35,63,215
2014-01-11 02:00:00,71,116,30,18,2.86,15,83
2014-01-11 03:00:00,31,107,37,40,1.2,17,55
2014-01-11 04:00:00,58,89,150,51,0.91,106,91
2014-01-11 05:00:00,149,197,130,106,2.67,172,176
2014-01-11 06:00:00,150,237,171,41,4.62,78,185
2014-01-11 07:00:00,132,297,158,89,4.97,187,212
2014-01-11 08:00:00,120,73,67,95,1.89,26,101
2014-01-11 09:00:00,132,251,144,42,4.95,49,175
2014-01-11 10:00:00,203,311,167,10,1.6,180,209
2014-01-11 11:00:00,100,103,179,37,1.92,195,135
2014-01-11 12:00:00,206,194,104,16,1.0,171,172
2014-01-11 13:00:00,132,308,35,98,3.51,28,161
2014-01-11 14:00:00,21,79,68,13,3.51,78,75
2014-01-11 15:00:00,149,199,54,59,1.94,161,153
2014-01-11 16:00:00,239,53,170,45,4.98,40,182
2014-01-11 17:00:00,73,159,97,18,4.54,130,133
2014-01-11 18:00:00,106,85,83,15,2.79,184,123
2014-01-11 19:00:00,248,149,77,55,1.21,186,183
2014-01-11 20:00:00,243,258,44,14,0.53,15,163
2014-01-11 21:00:00,244,160,83,114,2.3,16,174
2014-01-11 22:00:00,148,328,56,7,3.54,194,191
2014-01-11 23:00:00,166,85,86,24,3.33,56,133
2014-01-12 00:00:00,145,93,164,118,3.45,154,163
2014-01-12 01:00:00,149,93,119,31,3.73,125,147
2014-01-12 02:00:00,72,43,92,38,2.35,159,97
2014-01-12 03:00:00,191,279,176,65,3.14,54,198
2014-01-12 04:00:00,237,119,117,71,4.26,151,199
2014-01-12 05:00:00,179,240,101,90,4.22,126,196
2014-01-12 06:00:00,217,241,105,47,2.81,187,205
2014-01-12 07:00:00,179,295,37,65,1.21,175,178
2014-01-12 08:00:00,87,238,29,22,4.01,110,137
2014-01-12 09:00:00,202,112,31,6,4.49,113,161
2014-01-12 10:00:00,222,215,163,77,1.64,143,198
2014-01-12 11:00:00,203,258,161,77,2.54,183,212
2014-01-12 12:00:00,142,263,139,25,0.52,192,165
2014-01-12 13:00:00,164,322,76,47,1.3,166,181
2014-01-12 14:00:00,57,320,153,56,0.6,188,148
2014-01-12 15:00:00,43,132,49,89,0.81,174,92
2014-01-12 16:00:00,88,191,164,107,3.6,113,154
2014-01-12 17:00:00,135,119,134,56,4.27,20,140
2014-01-12 18:00:00,117,247,82,119,4.93,134,179
2014-01-12 19:00:00,217,131,41,68,1.73,95,154
2014-01-12 20:00:00,233,59,156,45,0.47,13,138
2014-01-12 21:00:00,158,92,155,51,1.31,55,128
2014-01-12 22:00:00,163,122,94,91,0.9,62,129
2014-01-12 23:00:00,116,113,12,77,4.29,69,123
2014-01-13 00:00:00,220,169,97,86,1.11,153,176
2014-01-13 01:00:00,143,298,135,46,0.4,77,156
2014-01-13 02:00:00,206,223,165,90,1.79,23,178
2014-01-13 03:00:00,89,105,158,80,2.42,156,131
2014-01-13 04:00:00,227,192,13,51,3.08,17,163
2014-01-13 05:00:00,112,235,27,42,2.91,125,142
2014-01-13 06:00:00,22,54,46,76,3.31,99,75
2014-01-13 07:00:00,167,249,93,71,1.66,33,155
2014-01-13 08:00:00,206,174,39,26,1.23,162,159
2014-01-13 09:00:00,183,121,78,47,3.24,197,169
2014-01-13 10:00:00,166,110,93,5,4.43,173,164
2014-01-13 11:00:00,109,336,47,43,4.21,18,158
2014-01-13 12:00:00,214,211,154,106,4.11,131,214
2014-01-13 13:00:00,166,162,149,101,4.6,109,184
2014-01-13 14:00:00,167,328,168,114,1.49,56,189
2014-01-13 15:00:00,115,249,93,59,2.15,38,138
2014-01-13 16:00:00,218,103,20,57,3.55,182,172
2014-01-13 17:00:00,71,102,104,117,1.27,124,104
2014-01-13 18:00:00,180,47,33,108,0.86,14,106
2014-01-13 19:00:00,187,284,123,38,1.27,113,180
2014-01-13 20:00:00,147,204,130,84,4.3,169,187
2014-01-13 21:00:00,58,132,35,37,2.69,196,109
2014-01-13 22:00:00,101,323,152,34,2.66,134,172
2014-01-13 23:00:00,123,348,148,35,4.3,62,188
2014-01-14 00:00:00,148,238,165,107,0.73,171,173
2014-01-14 01:00:00,30,163,50,84,3.25,45,93
2014-01-14 02:00:00,239,94,71,100,0.63,122,158
2014-01-14 03:00:00,204,229,44,73,4.77,24,183
2014-01-14 04:00:00,236,182,50,106,2.04,185,192
2014-01-14 05:00:00,197,349,128,51,3.16,94,212
2014-01-14 06:00:00,170,136,136,82,1.22,118,151
2014-01-14 07:00:00,178,349,170,65,3.32,81,211
2014-01-14 08:00:00,241,236,153,64,0.85,48,186
2014-01-14 09:00:00,61,324,86,36,4.1,75,149
2014-01-14 10:00:00,118,120,60,81,3.77,95,132
2014-01-14 11:00:00,26,148,158,77,3.88,148,124
2014-01-14 12:00:00,163,322,121,94,4.95,192,225
2014-01-14 13:00:00,109,248,155,72,3.9,86,167
2014-01-14 14:00:00,131,154,151,22,0.59,90,126
2014-01-14 15:00:00,79,280,28,60,3.4,54,133
2014-01-14 16:00:00,132,318,81,14,4.9,169,194
2014-01-14 17:00:00,21,345,127,98,2.0,196,151
2014-01-14 18:00:00,148,243,149,43,2.04,13,152
2014-01-14 19:00:00,67,240,78,56,0.67,65,107
2014-01-14 20:00:00,159,194,101,110,4.14,11,163
2014-01-14 21:00:00,216,304,60,7,1.58,69,179
2014-01-14 22:00:00,56,328,175,79,2.63,153,166
2014-01-14 23:00:00,179,109,171,118,3.72,79,172
2014-01-15 00:00:00,28,218,78,88,3.47,148,125
2014-01-15 01:00:00,118,207,84,55,1.9,92,135
2014-01-15 02:00:00,166,45,33,67,3.36,101,129
2014-01-15 03:00:00,67,171,153,77,2.97,107,131
2014-01-15 04:00:00,227,298,177,52,4.96,180,248
2014-01-15 05:00:00,150,180,99,84,4.86,140,179
2014-01-15 06:00:00,167,321,82,104,1.24,108,179
2014-01-15 07:00:00,171,329,177,10,3.71,121,209
2014-01-15 08:00:00,73,244,58,43,4.12,184,151
2014-01-15 09:00:00,139,220,54,66,1.71,20,130
2014-01-15 10:00:00,180,86,118,102,4.77,111,171
2014-01-15 11:00:00,171,175,123,57,1.24,48,144
2014-01-15 12:00:00,135,272,137,100,1.84,117,171
2014-01-15 13:00:00,94,241,157,68,2.71,71,148
2014-01-15 14:00:00,132,71,168,97,4.65,187,167
2014-01-15 15:00:00,219,316,176,116,3.3,78,226
2014-01-15 16:00:00,183,231,18,109,1.69,87,159
2014-01-15 17:00:00,185,130,150,43,3.4,12,155
2014-01-15 18:00:00,123,110,156,103,2.97,139,149
2014-01-15 19:00:00,103,337,51,99,4.36,22,164
2014-01-15 20:00:00,246,74,24,116,0.58,66,142
2014-01-15 21:00:00,131,259,92,16,3.15,64,154
2014-01-15 22:00:00,236,238,102,19,2.84,83,194
2014-01-15 23:00:00,118,145,165,15,2.11,123,137
2014-01-16 00:00:00,172,91,87,106,2.91,193,162
2014-01-16 01:00:00,112,56,24,104,1.15,68,89
2014-01-16 02:00:00,165,48,28,118,0.55,88,109
2014-01-16 03:00:00,147,219,172,94,1.93,121,171
2014-01-16 04:00:00,129,42,45,74,4.67,106,127
2014-01-16 05:00:00,101,317,170,115,4.26,143,196
2014-01-16 06:00:00,213,221,48,80,4.94,192,212
2014-01-16 07:00:00,73,331,174,103,2.85,123,173
2014-01-16 08:00:00,182,206,93,43,1.28,83,154
2014-01-16 09:00:00,227,290,161,31,3.11,18,203
2014-01-16 10:00:00,208,313,48,117,4.57,192,230
2014-01-16 11:00:00,188,120,34,89,1.44,123,143
2014-01-16 12:00:00,247,66,171,25,3.03,49,171
2014-01-16 13:00:00,180,157,147,72,1.12,160,165
2014-01-16 14:00:00,87,266,69,61,2.91,30,132
2014-01-16 15:00:00,52,234,73,90,3.05,141,133
2014-01-16 16:00:00,161,180,97,96,0.94,56,140
2014-01-16 17:00:00,40,312,65,100,2.48,14,120
2014-01-16 18:00:00,67,282,133,60,0.83,27,119
2014-01-16 19:00:00,167,56,26,113,0.59,77,109
2014-01-16 20:00:00,147,223,51,113,2.22,108,156
2014-01-16 21:00:00,155,87,179,16,3.99,25,143
2014-01-16 22:00:00,154,55,127,24,2.3,68,122
2014-01-16 23:00:00,214,232,114,95,0.84,108,181
2014-01-17 00:00:00,164,322,56,72,3.1,107,186
2014-01-17 01:00:00,147,53,87,75,3.01,14,116
2014-01-17 02:00:00,52,267,89,43,3.82,167,147
2014-01-17 03:00:00,195,155,99,72,1.69,111,161
2014-01-17 04:00:00,223,345,178,17,3.75,58,225
2014-01-17 05:00:00,206,263,168,42,0.57,170,194
2014-01-17 06:00:00,134,68,74,52,2.6,179,131
2014-01-17 07:00:00,233,67,125,119,4.64,177,200
2014-01-17 08:00:00,138,85,168,29,2.05,64,126
2014-01-17 09:00:00,41,99,36,74,4.66,177,112
2014-01-17 10:00:00,177,187,13,119,2.25,114,157
2014-01-17 11:00:00,57,91,129,5,0.3,152,86
2014-01-17 12:00:00,249,189,34,40,0.99,171,180
2014-01-17 13:00:00,128,183,114,97,2.45,77,145
2014-01-17 14:00:00,70,188,167,57,0.5,116,117
2014-01-17 15:00:00,201,211,91,77,2.49,128,183
2014-01-17 16:00:00,27,188,48,19,2.62,101,93
2014-01-17 17:00:00,46,143,65,10,1.29,14,70
2014-01-17 18:00:00,46,178,117,76,2.19,17,99
2014-01-17 19:00:00,245,159,132,48,2.41,60,182
2014-01-17 20:00:00,40,76,178,50,3.47,140,111
2014-01-17 21:00:00,49,211,168,108,4.18,167,156
2014-01-17 22:00:00,116,163,44,65,3.94,157,147
2014-01-17 23:00:00,47,317,123,20,0.55,154,130
2014-01-18 00:00:00,130,251,89,101,3.0,188,177
2014-01-18 01:00:00,211,233,87,83,4.46,122,206
2014-01-18 02:00:00,244,60,60,18,0.4,133,143
2014-01-18 03:00:00,216,280,42,82,2.65,46,185
2014-01-18 04:00:00,80,184,115,83,1.21,171,129
2014-01-18 05:00:00,67,331,135,13,3.76,68,154
2014-01-18 06:00:00,166,181,83,91,4.23,32,162
2014-01-18 07:00:00,23,204,78,82,2.14,75,98
2014-01-18 08:00:00,54,173,30,15,3.67,62,100
2014-01-18 09:00:00,211,217,145,42,4.71,163,215
2014-01-18 10:00:00,68,124,39,115,3.54,171,123
2014-01-18 11:00:00,36,244,170,82,4.83,80,147
2014-01-18 12:00:00,191,77,63,14,4.03,171,160
2014-01-18 13:00:00,239,205,116,25,0.74,181,189
2014-01-18 14:00:00,177,63,41,22,4.86,187,158
2014-01-18 15:00:00,240,57,108,32,1.74,60,149
2014-01-18 16:00:00,65,199,42,65,0.85,47,92
2014-01-18 17:00:00,136,261,46,56,4.22,38,158
2014-01-18 18:00:00,25,141,91,77,2.58,161,104
2014-01-18 19:00:00,118,128,179,96,2.62,93,144
2014-01-18 20:00:00,143,197,73,97,1.5,158,152
2014-01-18 21:00:00,56,127,174,56,4.69,35,122
2014-01-18 22:00:00,43,172,91,15,3.74,116,114
2014-01-18 23:00:00,112,299,38,88,0.47,18,125
2014-01-19 00:00:00,65,218,132,45,3.98,135,145
2014-01-19 01:00:00,200,328,129,14,2.94,43,196
2014-01-19 02:00:00,114,154,82,71,1.12,131,124
2014-01-19 03:00:00,118,326,140,56,1.03,69,157
2014-01-19 04:00:00,207,122,169,32,1.69,72,160
2014-01-19 05:00:00,244,276,85,57,3.7,13,202
2014-01-19 06:00:00,135,278,104,92,1.27,185,172
2014-01-19 07:00:00,210,105,10,38,4.24,101,159
2014-01-19 08:00:00,232,187,56,110,3.07,19,177
2014-01-19 09:00:00,179,243,33,98,0.98,79,154
2014-01-19 10:00:00,234,153,132,15,3.96,76,188
2014-01-19 11:00:00,180,228,74,68,0.61,24,143
2014-01-19 12:00:00,86,331,108,23,4.26,158,176
2014-01-19 13:00:00,147,123,39,31,1.04,43,107
2014-01-19 14:00:00,37,315,149,114,0.71,143,138
2014-01-19 15:00:00,44,139,43,50,3.81,53,95
2014-01-19 16:00:00,242,341,83,42,3.65,100,225
2014-01-19 17:00:00,73,313,141,45,3.09,80,154
2014-01-19 18:00:00,77,237,175,7,2.43,57,133
2014-01-19 19:00:00,86,73,177,63,0.4,20,88
2014-01-19 20:00:00,123,118,87,20,3.48,51,123
2014-01-19 21:00:00,193,170,167,14,1.36,16,150
2014-01-19 22:00:00,43,111,118,78,3.91,145,117
2014-01-19 23:00:00,133,282,77,49,2.48,169,171
2014-01-20 00:00:00,51,178,61,6,0.95,52,81
2014-01-20 01:00:00,194,213,138,74,4.73,103,201
2014-01-20 02:00:00,105,56,167,46,1.06,170,116
2014-01-20 03:00:00,170,86,132,24,2.33,171,151
2014-01-20 04:00:00,213,69,142,63,3.81,53,165
2014-01-20 05:00:00,146,79,107,37,2.53,113,131
2014-01-20 06:00:00,174,238,151,56,2.48,92,179
2014-01-20 07:00:00,149,195,121,103,4.01,108,175
2014-01-20 08:00:00,237,323,144,38,1.77,54,207
2014-01-20 09:00:00,36,98,82,87,1.72,47,75
2014-01-20 10:00:00,123,253,82,86,3.65,68,160
2014-01-20 11:00:00,180,302,48,59,1.43,107,172
2014-01-20 12:00:00,156,63,95,5,1.18,26,103
2014-01-20 13:00:00,62,336,25,12,4.76,58,143
2014-01-20 14:00:00,195,278,82,17,1.88,147,184
2014-01-20 15:00:00,58,93,65,113,4.36,171,123
2014-01-20 16:00:00,240,309,87,107,3.16,110,223
2014-01-20 17:00:00,189,211,71,101,3.98,136,190
2014-01-20 18:00:00,45,344,44,60,1.93,81,126
2014-01-20 19:00:00,118,248,106,77,3.63,37,154
2014-01-20 20:00:00,69,84,163,93,3.84,168,134
2014-01-20 21:00:00,172,289,15,97,3.98,73,181
2014-01-20 22:00:00,171,46,27,43,2.39,114,122
2014-01-20 23:00:00,32,298,30,26,1.59,38,97
